Name,Símbolo,Mercado,Último (Preço),%,Data/Hora,Link
ANALOG DEVICES,1ADI,BGEM,"EUR 267,15","1,81%",15:43 CET,https://live.euronext.com/pt/product/equities/US0326541051-BGEM
ANALOG DEVICES,4ADI,ETLX,"EUR 237,45",-,08 Dec 2025,https://live.euronext.com/pt/product/equities/US0326541051-ETLX
ANDFJORD SALMON GR,ANDF,MERK,"NOK 25,30","1,20%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010829765-MERK
ANDINO GLOBAL,MLAIG,XMLI,"EUR 2,24","12,00%",11:30 CET,https://live.euronext.com/pt/product/equities/ES0105744009-XMLI
ANDRITZ,1ANDR,BGEM,"EUR 70,60","3,14%",09 Jan 2026,https://live.euronext.com/pt/product/equities/AT0000730007-BGEM
ANGLOGOLD ASHANTI,1ANGU,BGEM,"EUR 83,50","-1,67%",14:05 CET,https://live.euronext.com/pt/product/equities/GB00BRXH2664-BGEM
ANHEUSER-BUSCH,1ABI,BGEM,"EUR 58,80","-0,98%",15:55 CET,https://live.euronext.com/pt/product/equities/BE0974293251-BGEM
ANHEUSER-BUSCH,2ABI,MTAH,"EUR 59,38","2,95%",29 Jul 2025,https://live.euronext.com/pt/product/equities/BE0974293251-MTAH
ANHEUSER-BUSCH,4ABI,ETLX,"EUR 51,50","0,47%",14 Oct 2025,https://live.euronext.com/pt/product/equities/BE0974293251-ETLX
ANIMA HOLDING,ANIM,MTAA,"EUR 6,44","1,42%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0004998065-MTAA
ANTARES VISION,AV,MTAA,"EUR 5,03","0,20%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005366601-MTAA
ANTIN INFRA PARTN,2ANTIN,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0014005AL0-MTAH
ANTIN INFRA PARTN,ANTIN,XPAR,"EUR 10,56","-5,55%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0014005AL0-XPAR
Aon PLC,1AON,BGEM,"EUR 298,90","-1,16%",13 Jan 2026,https://live.euronext.com/pt/product/equities/IE00BLP1HW54-BGEM
APA Corp,1APA,BGEM,"EUR 22,34","-0,56%",17:04 CET,https://live.euronext.com/pt/product/equities/US03743Q1085-BGEM
APELLIS PHARMACEUT,1APLS,BGEM,"EUR 21,67","-0,51%",18 Dec 2025,https://live.euronext.com/pt/product/equities/US03753U1060-BGEM
APERAM,APAM,"XAMS, XBRU, XPAR","EUR 35,56","-2,25%",17:38 CET,https://live.euronext.com/pt/product/equities/LU0569974404-XAMS
APERAM,2APAM,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/LU0569974404-MTAH
APODACA INVERSIONE,MLASO,XMLI,"EUR 70,00",-,07 Nov 2022,https://live.euronext.com/pt/product/equities/ES0105658001-XMLI
APOLLO GLOBAL MANA,1APO,BGEM,"EUR 125,15","-0,48%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US03769M1062-BGEM
AUMANN,2AAG,MTAH,"EUR 9,88",-,13 Mar 2025,https://live.euronext.com/pt/product/equities/DE000A2DAM03-MTAH
Aumovio,1AUMO,BGEM,"EUR 43,86","-3,44%",16:39 CET,https://live.euronext.com/pt/product/equities/DE000AUM0V10-BGEM
AUREA,AURE,XPAR,"EUR 5,86","0,34%",13:40 CET,https://live.euronext.com/pt/product/equities/FR0000039232-XPAR
AURSKOG SPAREBANK,AURG,XOSL,"NOK 265,00","1,90%",13:03 CET,https://live.euronext.com/pt/product/equities/NO0006001601-XOSL
Aurubis,1AUR,BGEM,"EUR 142,90","-2,59%",15:27 CET,https://live.euronext.com/pt/product/equities/DE0006766504-BGEM
AUSTEVOLL SEAFOOD,AUSS,XOSL,"NOK 95,00","-1,66%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010073489-XOSL
AUTO1 Group SE,1AG1,BGEM,"EUR 30,08","-2,02%",14 Jan 2026,https://live.euronext.com/pt/product/equities/DE000A2LQ884-BGEM
AUTODESK,2ADSK,MTAH,"EUR 254,10","-1,03%",13 Nov 2025,https://live.euronext.com/pt/product/equities/US0527691069-MTAH
AUTODESK,1ADSK,BGEM,"EUR 226,40","0,53%",16:11 CET,https://live.euronext.com/pt/product/equities/US0527691069-BGEM
AUTODESK,4ADSK,ETLX,"EUR 274,55","-0,79%",08 Sep 2025,https://live.euronext.com/pt/product/equities/US0527691069-ETLX
AUTOMATIC DATA PRO,4ADP,ETLX,"EUR 225,95","-6,40%",29 Oct 2025,https://live.euronext.com/pt/product/equities/US0530151036-ETLX
AUTOMATIC DATA PRO,2ADP,MTAH,"EUR 249,65","0,48%",19 Sep 2025,https://live.euronext.com/pt/product/equities/US0530151036-MTAH
AUTOMATIC DATA PRO,1ADP,BGEM,"EUR 226,10","-0,53%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US0530151036-BGEM
AUTOSTORE HOLDINGS,AUTO,XOSL,"NOK 12,95","-0,84%",16:25 CET,https://live.euronext.com/pt/product/equities/BMG0670A1099-XOSL
AUTOSTRADE MERID,AUTME,MTAA,"EUR 2,915","0,52%",17:13 CET,https://live.euronext.com/pt/product/equities/IT0000084043-MTAA
AUTOZONE,4AZO,ETLX,"EUR 2 572,00","0,63%",27 Feb 2024,https://live.euronext.com/pt/product/equities/US0533321024-ETLX
AUTOZONE,2AZO,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/US0533321024-MTAH
AUTOZONE,1AZO,BGEM,"EUR 2 852,00","2,11%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US0533321024-BGEM
AVANTIUM,AVTX,"XAMS, XBRU","EUR 7,166","-0,89%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0015002IE0-XAMS
Avanza Bank,1AZA,BGEM,"EUR 33,63","-1,09%",03 Nov 2025,https://live.euronext.com/pt/product/equities/SE0012454072-BGEM
AVENIR TELECOM,AVT,XPAR,"EUR 0,0332","0,61%",17:18 CET,https://live.euronext.com/pt/product/equities/FR001400CFI7-XPAR
AVENTADOR,ALAVE,ALXP,"EUR 0,0008",-,12 Nov 2024,https://live.euronext.com/pt/product/equities/FR001400IV58-ALXP
Avery Den,1AVY,BGEM,"EUR 157,00","-0,63%",11 Jun 2025,https://live.euronext.com/pt/product/equities/US0536111091-BGEM
AVIO,AVIO,MTAA,"EUR 38,65","1,58%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005119810-MTAA
AVIS BUDGET GROUP,1CAR,BGEM,"EUR 109,90","-3,77%",15 Dec 2025,https://live.euronext.com/pt/product/equities/US0537741052-BGEM
AVOLTA,1AVOL,BGEM,"EUR 49,80","0,40%",15 Jan 2026,https://live.euronext.com/pt/product/equities/CH0023405456-BGEM
AWILCO LNG,ALNG,XOAS,"NOK 3,35","0,30%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010607971-XOAS
AXA,1CS,BGEM,"EUR 39,14","-0,63%",15:52 CET,https://live.euronext.com/pt/product/equities/FR0000120628-BGEM
AXA,CS,XPAR,"EUR 39,27","-0,23%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0000120628-XPAR
AXA,4CS,ETLX,"EUR 39,53","-1,20%",12 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000120628-ETLX
AXA,2CS,MTAH,"EUR 42,08","2,96%",15 Dec 2025,https://live.euronext.com/pt/product/equities/FR0000120628-MTAH
AXA NV26,CSNV,XPAR,-,-,-,https://live.euronext.com/pt/product/equities/FR0014013Q98-XPAR
AXACTOR,ACR,XOSL,"NOK 8,12","-2,87%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010840515-XOSL
AXCELIS TECHNOLOGI,1ACLS,BGEM,"EUR 83,18","-1,80%",15:57 CET,https://live.euronext.com/pt/product/equities/US0545402085-BGEM
Axfood AB,1AXFO,BGEM,-,-,-,https://live.euronext.com/pt/product/equities/SE0006993770-BGEM
Axon Ent,1AXON,BGEM,"EUR 541,40","1,58%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US05464C1018-BGEM
AXSOME THERAPEUTIC,1AXSM,BGEM,"EUR 151,45","-0,49%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US05464T1043-BGEM
AYFIE INTERNATIONA,AIX,MERK,"NOK 3,46","1,47%",14:06 CET,https://live.euronext.com/pt/product/equities/NO0012861683-MERK
AYVENS,AYV,XPAR,"EUR 11,71","-1,27%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0013258662-XPAR
AYVENS,2AYV,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0013258662-MTAH
AZ LEASING,MLAZL,XMLI,"EUR 0,625",-,06 Mar 2024,https://live.euronext.com/pt/product/equities/IT0004812258-XMLI
AZELIS GROUP,AZE,XBRU,"EUR 8,485","-5,20%",17:37 CET,https://live.euronext.com/pt/product/equities/BE0974400328-XBRU
AZERION,AZRN,XAMS,"EUR 1,10","-2,66%",17:35 CET,https://live.euronext.com/pt/product/equities/NL00150006Z9-XAMS
AZERION WARRANTS,AZRNW,XAMS,"EUR 0,0005",-,29 Dec 2025,https://live.euronext.com/pt/product/equities/NL00150007A0-XAMS
AZIMUT,AZM,MTAA,"EUR 37,16","0,35%",17:38 CET,https://live.euronext.com/pt/product/equities/IT0003261697-MTAA
AZIMUT,2AZM,MTAH,"EUR 37,03","-0,35%",18:38 CET,https://live.euronext.com/pt/product/equities/IT0003261697-MTAH
AZOREAN TECH,MLAAT,XMLI,"EUR 0,25",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/PTAZR0AM0006-XMLI
B&C SPEAKERS,BEC,MTAA,"EUR 14,95","0,67%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001268561-MTAA
B.COM.PORTUGUES,2BCP,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/PTBCP0AM0015-MTAH
B.COM.PORTUGUES,BCP,XLIS,"EUR 0,8984","0,13%",16:35 WET,https://live.euronext.com/pt/product/equities/PTBCP0AM0015-XLIS
B.F.,BFG,MTAA,"EUR 4,19","0,48%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005187460-MTAA
B2 Impact,B2I,XOSL,"NOK 20,15","1,46%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010633951-XOSL
BAIKOWSKI,ALBKK,ALXP,"EUR 22,40","-0,89%",14:20 CET,https://live.euronext.com/pt/product/equities/FR0013384369-ALXP
BAINS MER MONACO,BAIN,XPAR,"EUR 122,00","4,27%",17:35 CET,https://live.euronext.com/pt/product/equities/MC0000031187-XPAR
BAKKAFROST,BAKKA,XOSL,"NOK 476,40","-0,58%",16:25 CET,https://live.euronext.com/pt/product/equities/FO0000000179-XOSL
Ball Corp,1BALL,BGEM,"EUR 43,00","-0,23%",03 Oct 2025,https://live.euronext.com/pt/product/equities/US0584981064-BGEM
BALTIC SEA PROP,BALT,MERK,"NOK 49,40","-0,80%",15:18 CET,https://live.euronext.com/pt/product/equities/NO0010810476-MERK
BALYO,BALYO,XPAR,"EUR 0,598","-0,33%",16:00 CET,https://live.euronext.com/pt/product/equities/FR0013258399-XPAR
BAM GROEP KON,BAMNB,XAMS,"EUR 9,41","0,27%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000337319-XAMS
BANCA GENERALI,BGN,MTAA,"EUR 58,25",-,17:35 CET,https://live.euronext.com/pt/product/equities/IT0001031084-MTAA
BANCA GENERALI,2BGN,MTAH,"EUR 58,60","0,60%",15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0001031084-MTAH
BANCA IFIS,IF,MTAA,"EUR 26,78","-0,15%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003188064-MTAA
BANCA MEDIOLANUM,2BMED,MTAH,"EUR 19,70","-0,25%",18:47 CET,https://live.euronext.com/pt/product/equities/IT0004776628-MTAH
BANCA MEDIOLANUM,BMED,MTAA,"EUR 19,75","0,05%",17:38 CET,https://live.euronext.com/pt/product/equities/IT0004776628-MTAA
BANCA MPS,2BMPS,MTAH,"EUR 8,838","0,23%",18:53 CET,https://live.euronext.com/pt/product/equities/IT0005508921-MTAH
BANCA MPS,BMPS,MTAA,"EUR 8,818","-4,18%",17:38 CET,https://live.euronext.com/pt/product/equities/IT0005508921-MTAA
BANCA SISTEMA,BST,MTAA,"EUR 1,74","0,23%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003173629-MTAA
BANCO BPM,2BAMI,MTAH,"EUR 12,745",-,18:54 CET,https://live.euronext.com/pt/product/equities/IT0005218380-MTAH
BANCO BPM,BAMI,MTAA,"EUR 12,745","-0,47%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005218380-MTAA
BANCO DE SABADELL,2SAB,MTAH,"EUR 3,485","4,78%",12 Jan 2026,https://live.euronext.com/pt/product/equities/ES0113860A34-MTAH
BANCO DE SABADELL,4SAB,ETLX,"EUR 3,063","-2,42%",21 Nov 2025,https://live.euronext.com/pt/product/equities/ES0113860A34-ETLX
BANCO DE SABADELL,1SAB,BGEM,"EUR 3,221","-1,11%",17:05 CET,https://live.euronext.com/pt/product/equities/ES0113860A34-BGEM
BANCO SANTANDER,1SANX,BGEM,"EUR 10,29","-2,52%",17:35 CET,https://live.euronext.com/pt/product/equities/ES0113900J37-BGEM
BANCO SANTANDER,2SANX,MTAH,"EUR 10,416","2,93%",07 Jan 2026,https://live.euronext.com/pt/product/equities/ES0113900J37-MTAH
BANCO SANTANDER,4SANX,ETLX,"EUR 10,132","-1,59%",07 Jan 2026,https://live.euronext.com/pt/product/equities/ES0113900J37-ETLX
BANIJAY GROUP,BNJ,XAMS,"EUR 8,20",-,17:35 CET,https://live.euronext.com/pt/product/equities/NL0015000X07-XAMS
BANIJAY GROUP WARR,BNJW,XAMS,"EUR 0,25","-16,67%",15 Mar 2022,https://live.euronext.com/pt/product/equities/NL0015000H56-XAMS
BANIMMO A,BANI,XBRU,"EUR 2,84",-,16:42 CET,https://live.euronext.com/pt/product/equities/BE0003870871-XBRU
BANK OF AMERICA,2BAC,MTAH,"EUR 46,885","-0,49%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US0605051046-MTAH
BANK OF AMERICA,4BAC,ETLX,"EUR 47,50","0,09%",23 Dec 2025,https://live.euronext.com/pt/product/equities/US0605051046-ETLX
BANK OF AMERICA,1BAC,BGEM,"EUR 45,53","-0,01%",17:35 CET,https://live.euronext.com/pt/product/equities/US0605051046-BGEM
BANK OF IRELAND GP,BIRG,XMSM,"EUR 16,835","0,36%",16:30 GMT,https://live.euronext.com/pt/product/equities/IE00BD1RP616-XMSM
BANK OZK,1OZK,BGEM,"EUR 41,11","-1,75%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US06417N1037-BGEM
Bankinter,1BKT,BGEM,"EUR 14,325","7,22%",15 Jan 2026,https://live.euronext.com/pt/product/equities/ES0113679I37-BGEM
BANQUP GROUP,BANQ,XBRU,"EUR 3,34","1,83%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974371032-XBRU
BARBARA BUI,BUI,XPAR,"EUR 5,00","0,81%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0000062788-XPAR
BARCO,2BAR,MTAH,"EUR 9,745",-,08 Jan 2025,https://live.euronext.com/pt/product/equities/BE0974362940-MTAH
BARCO,BAR,XBRU,"EUR 12,13","-0,41%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974362940-XBRU
BARINGS CORE SPAIN,MLBAR,XMLI,"EUR 1,50",-,18 Sep 2018,https://live.euronext.com/pt/product/equities/ES0105362000-XMLI
BARRAMUNDI GROUP,BARRA,MERK,"NOK 0,459","-6,14%",16:26 CET,https://live.euronext.com/pt/product/equities/SGXZ33675836-MERK
BARRY CALLEBAUT,1BARN,BGEM,"EUR 1 350,00","-2,17%",17:11 CET,https://live.euronext.com/pt/product/equities/CH0009002962-BGEM
BASF,2BAS,MTAH,"EUR 42,67","0,02%",20 Nov 2025,https://live.euronext.com/pt/product/equities/DE000BASF111-MTAH
BASF,1BAS,BGEM,"EUR 44,76","-3,41%",17:29 CET,https://live.euronext.com/pt/product/equities/DE000BASF111-BGEM
BASF,4BAS,ETLX,"EUR 44,98","-2,94%",15:46 CET,https://live.euronext.com/pt/product/equities/DE000BASF111-ETLX
BASIC-FIT,2BFIT,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/NL0011872650-MTAH
BASIC-FIT,BFIT,XAMS,"EUR 31,26","4,90%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0011872650-XAMS
BASICNET,BAN,MTAA,"EUR 7,26","-0,14%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001033700-MTAA
BASSAC,BASS,XPAR,"EUR 53,60","0,37%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0004023208-XPAR
BASTIDE LE CONFORT,BLC,XPAR,"EUR 24,70","-1,20%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000035370-XPAR
BASTOGI SPA,B,MTAA,"EUR 0,816","-2,16%",17:27 CET,https://live.euronext.com/pt/product/equities/IT0004412497-MTAA
BM3EAC,BACE,XAMS,"USD 10,00","1,01%",14 Mar 2023,https://live.euronext.com/pt/product/equities/KYG137071075-XAMS
BMW,4BMW,ETLX,"EUR 89,34","-1,13%",13:56 CET,https://live.euronext.com/pt/product/equities/DE0005190003-ETLX
BMW,1BMW,BGEM,"EUR 88,80","-1,73%",17:19 CET,https://live.euronext.com/pt/product/equities/DE0005190003-BGEM
BMW,2BMW,MTAH,"EUR 87,30","-1,69%",18:12 CET,https://live.euronext.com/pt/product/equities/DE0005190003-MTAH
BMW PREF,1BMW3,BGEM,"EUR 89,95","4,41%",15 Jan 2026,https://live.euronext.com/pt/product/equities/DE0005190037-BGEM
BMW PREF,4BMW3,ETLX,"EUR 89,50","1,53%",14 Jan 2026,https://live.euronext.com/pt/product/equities/DE0005190037-ETLX
BMW PREF,2BMW3,MTAH,"EUR 73,00","-2,34%",08 Oct 2025,https://live.euronext.com/pt/product/equities/DE0005190037-MTAH
BNP PARIBAS,2BNP,MTAH,"EUR 87,00",-,12 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000131104-MTAH
BNP PARIBAS,4BNP,ETLX,"EUR 87,04",-,13 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000131104-ETLX
BNP PARIBAS,1BNP,BGEM,"EUR 87,07","-0,47%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0000131104-BGEM
BNP PARIBAS ACT.A,BNP,XPAR,"EUR 87,21","-0,19%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0000131104-XPAR
BNP PARIBAS FORTIS,,VPXB,"EUR 39,00","-9,30%",13 Jan 2026,https://live.euronext.com/pt/product/equities/BE0172505399-VPXB
BOA CONCEPT,ALBOA,ALXP,"EUR 13,30","-1,12%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011365907-ALXP
BODY ONE,MLONE,XMLI,"EUR 0,32",-,11:31 CET,https://live.euronext.com/pt/product/equities/FR0010106039-XMLI
BOEING,2BA,MTAH,"EUR 213,00","0,02%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US0970231058-MTAH
BOEING,1BA,BGEM,"EUR 212,40","-0,26%",17:29 CET,https://live.euronext.com/pt/product/equities/US0970231058-BGEM
BOEING,4BA,ETLX,"EUR 206,75","-1,90%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US0970231058-ETLX
BOIRON,BOI,XPAR,"EUR 30,60","1,33%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000061129-XPAR
Boliden,1BOL,BGEM,"EUR 53,54","-9,10%",16:58 CET,https://live.euronext.com/pt/product/equities/SE0020050417-BGEM
BOLLORE,2BOL,MTAH,"EUR 5,985",-,19 Feb 2025,https://live.euronext.com/pt/product/equities/FR0000039299-MTAH
BOLLORE,BOL,XPAR,"EUR 4,794","0,88%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000039299-XPAR
BOLOGNAFIERE,BF,EXGM,-,-,-,https://live.euronext.com/pt/product/equities/IT0003516066-EXGM
BONDUELLE,BON,XPAR,"EUR 9,93","-3,59%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000063935-XPAR
BONHEUR,BONHR,XOSL,"NOK 257,00","1,78%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003110603-XOSL
BONYF,MLBON,XMLI,"EUR 4,90",-,15 Jan 2026,https://live.euronext.com/pt/product/equities/BE6333353298-XMLI
BOOKING HOLDINGS,1BKNG,BGEM,"EUR 4 613,00","1,68%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US09857L1089-BGEM
BOOKING HOLDINGS,4BKNG,ETLX,"EUR 4 100,00","0,49%",20 Nov 2025,https://live.euronext.com/pt/product/equities/US09857L1089-ETLX
BOOKING HOLDINGS,2BKNG,MTAH,"EUR 4 500,00","0,49%",10 Dec 2025,https://live.euronext.com/pt/product/equities/US09857L1089-MTAH
BOOSTHEAT,ALBOO,ALXP,"EUR 0,0002",-,17:18 CET,https://live.euronext.com/pt/product/equities/FR001400OS22-ALXP
BOOZ ALLEN HAMILTO,1BAH,BGEM,"EUR 73,26","-0,57%",22 Dec 2025,https://live.euronext.com/pt/product/equities/US0995021062-BGEM
BORGESTAD,BOR,XOSL,"NOK 18,25","3,11%",09:12 CET,https://live.euronext.com/pt/product/equities/NO0013256180-XOSL
BORGOSESIA,BO,MTAA,"EUR 0,558",-,16:44 CET,https://live.euronext.com/pt/product/equities/IT0003217335-MTAA
BorgWarner,1BWA,BGEM,"EUR 38,985","3,60%",23 Dec 2025,https://live.euronext.com/pt/product/equities/US0997241064-BGEM
BORR DRILLING,BORR,MERK,"NOK 43,975","-0,40%",16:25 CET,https://live.euronext.com/pt/product/equities/BMG1466R1732-MERK
BORREGAARD,BRG,XOSL,"NOK 198,20","-0,70%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010657505-XOSL
BORUSSIA DORTMUND,2BOD,MTAH,"EUR 4,04",-,15 May 2025,https://live.euronext.com/pt/product/equities/DE0005493092-MTAH
BORUSSIA DORTMUND,1BOD,BGEM,"EUR 3,37","4,82%",29 Dec 2025,https://live.euronext.com/pt/product/equities/DE0005493092-BGEM
BOSTON SCIENTIFIC,4BSX,ETLX,"EUR 88,20","0,23%",15 Sep 2025,https://live.euronext.com/pt/product/equities/US1011371077-ETLX
BOSTON SCIENTIFIC,2BSX,MTAH,"EUR 88,80",-,14 Nov 2025,https://live.euronext.com/pt/product/equities/US1011371077-MTAH
BOSTON SCIENTIFIC,1BSX,BGEM,"EUR 77,60","0,52%",14:31 CET,https://live.euronext.com/pt/product/equities/US1011371077-BGEM
BOUFFIOULX-St-NICO,,VPXB,"EUR 34,20","-18,56%",21 Oct 2025,https://live.euronext.com/pt/product/equities/BE0014799556-VPXB
BOURRELIER GROUP,ALBOU,ALXP,"EUR 41,80","-6,28%",11:30 CET,https://live.euronext.com/pt/product/equities/FR0000054421-ALXP
BOURSE DIRECT,BSD,XPAR,"EUR 5,30",-,17:14 CET,https://live.euronext.com/pt/product/equities/FR0000074254-XPAR
BOUVET,BOUV,XOSL,"NOK 59,50","-1,16%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010360266-XOSL
BOUYGUES,2EN,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000120503-MTAH
BOUYGUES,4EN,ETLX,"EUR 44,44","-0,07%",23 Dec 2025,https://live.euronext.com/pt/product/equities/FR0000120503-ETLX
BOUYGUES,EN,XPAR,"EUR 45,32","-0,15%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000120503-XPAR
BOUYGUES NV26,ENNV,XPAR,"EUR 43,70","-15,10%",07 Jan 2026,https://live.euronext.com/pt/product/equities/FR0014014J13-XPAR
BPER BANCA,2BPE,MTAH,"EUR 12,14","-0,12%",18:48 CET,https://live.euronext.com/pt/product/equities/IT0000066123-MTAH
BPER BANCA,BPE,MTAA,"EUR 12,155",-,17:36 CET,https://live.euronext.com/pt/product/equities/IT0000066123-MTAA
BPOST,BPOST,XBRU,"EUR 2,20","-0,68%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974268972-XBRU
BQUE NAT. BELGIQUE,BNB,XBRU,"EUR 417,00","-2,80%",16:19 CET,https://live.euronext.com/pt/product/equities/BE0003008019-XBRU
BRAGA MORO,BRM,EXGM,"EUR 3,50","-0,57%",10:13 CET,https://live.euronext.com/pt/product/equities/IT0005640286-EXGM
BRAZE INC-A,1BRZE,BGEM,"EUR 20,27","-11,87%",16:36 CET,https://live.euronext.com/pt/product/equities/US10576N1028-BGEM
BREDERODE,BREB,XBRU,"EUR 106,00","-1,30%",17:35 CET,https://live.euronext.com/pt/product/equities/LU1068091351-XBRU
BREMBO,BRE,MTAA,"EUR 9,81","-1,01%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0015001KT6-MTAA
BRENNTAG,2BRE,MTAH,"EUR 65,86",-,06 Jun 2024,https://live.euronext.com/pt/product/equities/DE000A1DAHH0-MTAH
BRENNTAG,1BRE,BGEM,"EUR 50,30","-0,24%",22 Oct 2025,https://live.euronext.com/pt/product/equities/DE000A1DAHH0-BGEM
BRIDGEBIO PHARMA I,1BBIO,BGEM,"EUR 67,00","-2,02%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US10806X1028-BGEM
BRINKER INTERNATIO,1EAT,BGEM,"EUR 122,00","-1,61%",02 Jan 2026,https://live.euronext.com/pt/product/equities/US1096411004-BGEM
BRIOSCHI,BRI,MTAA,"EUR 0,0652","-0,31%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0000066180-MTAA
BRISTOL-MYERS SQ,1BMY,BGEM,"EUR 48,11","-0,53%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US1101221083-BGEM
BRISTOL-MYERS SQ,4BMY,ETLX,"EUR 41,975","-0,70%",26 Nov 2025,https://live.euronext.com/pt/product/equities/US1101221083-ETLX
BRISTOL-MYERS SQ,2BMY,MTAH,"EUR 48,025","0,62%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US1101221083-MTAH
BROADCOM,4AVGO,ETLX,"EUR 302,00","-1,42%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US11135F1012-ETLX
BROADCOM,1AVGO,BGEM,"EUR 299,80","0,17%",17:35 CET,https://live.euronext.com/pt/product/equities/US11135F1012-BGEM
BROADCOM,2AVGO,MTAH,"EUR 297,00","-0,77%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US11135F1012-MTAH
BROADPEAK,ALBPK,ALXP,"EUR 2,14","-4,04%",17:35 CET,https://live.euronext.com/pt/product/equities/FR001400AJZ7-ALXP
Brown Brown,1BRO,BGEM,"EUR 69,20",-,09 Jan 2026,https://live.euronext.com/pt/product/equities/US1152361010-BGEM
Brown-Forman,1BFB,BGEM,"EUR 22,11","3,41%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US1156372096-BGEM
BRUKER CORP,1BRKR,BGEM,"EUR 44,35","4,67%",13:58 CET,https://live.euronext.com/pt/product/equities/US1167941087-BGEM
BRUNEL INTERNAT,BRNL,XAMS,"EUR 7,60","-1,43%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0010776944-XAMS
BRUNELLO CUCINELLI,2BC,MTAH,"EUR 87,80","0,32%",18:55 CET,https://live.euronext.com/pt/product/equities/IT0004764699-MTAH
BRUNELLO CUCINELLI,BC,MTAA,"EUR 87,52","-5,38%",17:37 CET,https://live.euronext.com/pt/product/equities/IT0004764699-MTAA
BRUTON,BRUT,MERK,"NOK 46,80","1,74%",16:14 CET,https://live.euronext.com/pt/product/equities/NO0013036814-MERK
Builders FS,1BLDR,BGEM,"EUR 111,60","2,86%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US12008R1077-BGEM
BUREAU VERITAS,BVI,XPAR,"EUR 27,20","-0,95%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0006174348-XPAR
